OBJECTID,EASTING,NORTHING
1345,546616,184479
1346,547907,184004
1347,547959,184268
1348,547907,184004
1349,547973,184010
1350,548042,184172
1351,547959,184268
1352,548137,184045
1353,547959,184268
1354,547959,184268
1355,548042,184172
1356,548042,184172
1357,548268,184257
1358,547973,184010
1359,547907,184004
1360,547936,183924
1361,548137,184045
1362,548028,184276
1363,547509,184069
1364,547804,183891
1365,547804,183891
1366,547804,183891
1367,547509,184069
1368,547653,184003
1369,548323,183773
1370,548132,183985
1371,548151,183945
1372,548132,183985
1373,548132,183985
1374,548132,183985
1375,548476,183601
1376,548463,184020
1377,548501,183886
1378,548476,183601
1379,548151,183945
1380,548323,183773
1381,548151,183945
1382,548132,183985
1383,548323,183773
1384,548476,183601
1385,548323,183773
1386,548323,183773
1387,548461,183770
1388,548463,184020
1389,548323,183773
1390,548461,183770
1391,548323,183773
1392,548323,183773
1393,548323,183773
1394,548463,184020
1395,548132,183985
1396,548323,183773
1397,548323,183773
1398,548323,183773
1399,548323,183773
1400,548441,184561
1401,548441,184561
1402,548012,184478
1403,548441,184561
1404,548012,184478
1405,548298,184266
1406,548473,184369
1407,548148,184260
1408,548298,184266
1409,548148,184260
1410,548473,184369
1411,548012,184478
1412,548012,184478
1413,548162,184418
1414,548473,184369
1415,548441,184561
1416,548812,183432
1417,547761,183584
1418,548023,183678
